chat_id,channel_identifier,condition,message,sender_id,receiver_id,session_time,segment
GSL_G.2_main_1,32326,control,Hello,661074,90887,0.0,early
GSL_G.2_main_1,32327,control,Hi,694133,90684,0.018283333333333300,early
GSL_G.2_main_1,32328,control,Hi!,90684,694133,0.0919,early
GSL_G.2_main_1,32329,control,Hi :),696373,90887,0.11923333333333300,early
GSL_G.2_main_1,32330,control,hi!,594825,696373,0.14626666666666700,early
GSL_G.2_main_1,32331,control,Wassup,661074,976819,0.17906666666666700,early
GSL_G.2_main_1,32332,control,Hi,464297,694133,0.23676666666666700,early
GSL_G.2_main_1,32333,control,hi!,696373,594825,0.24616666666666700,early
GSL_G.2_main_1,32334,control,hi!,594825,976819,0.25345,early
GSL_G.2_main_1,32335,control,how are you?,696373,594825,0.35473333333333300,early
GSL_G.2_main_1,32336,control,Why are you doing this study :) ?,694133,90684,0.36315,early
GSL_G.2_main_1,32337,control,Hi :),90887,696373,0.39655,early
GSL_G.2_main_1,32338,control,hii what is your major?,976819,464297,0.4889,early
GSL_G.2_main_1,32339,control,To get my psych credits lol,90684,694133,0.5029333333333330,early
GSL_G.2_main_1,32340,control,"pretty good, how about you?",594825,696373,0.5203333333333330,early
GSL_G.2_main_1,32341,control,I like your avatar,551759,464297,0.5523,early
GSL_G.2_main_1,32342,control,Hiiii :),90887,661074,0.5677666666666670,early
GSL_G.2_main_1,32343,control,how are you?,696373,90887,0.5855833333333330,early
GSL_G.2_main_1,32344,control,hi!,594825,90684,0.6261,early
GSL_G.2_main_1,32345,control,This is the last one that I need to get to 6,90684,694133,0.6593166666666670,early
GSL_G.2_main_1,32346,control,I want to do public policy,464297,976819,0.6679,early
GSL_G.2_main_1,32347,control,Ha me too,694133,90684,0.6902,early
GSL_G.2_main_1,32348,control,Hi :),90887,504005,0.7029333333333330,early
GSL_G.2_main_1,32349,control,hi!,594825,661074,0.7056,early
GSL_G.2_main_1,32350,control,what about you!,464297,976819,0.7262666666666670,early
GSL_G.2_main_1,32351,control,how are you,661074,90887,0.7468833333333330,early
GSL_G.2_main_1,32352,control,h!,594825,464297,0.7708666666666670,early
GSL_G.2_main_1,32353,control,i'm doing alright can't complain,696373,594825,0.8189166666666670,early
GSL_G.2_main_1,32354,control,helllo~,504005,90887,0.8425166666666670,early
GSL_G.2_main_1,32355,control,heyyy!,661074,594825,0.8599833333333330,early
GSL_G.2_main_1,32356,control,hi!,464297,594825,0.8609833333333330,early
GSL_G.2_main_1,32357,control,heyy how are you doing??,976819,661074,0.8678333333333330,early
GSL_G.2_main_1,32358,control,I still need 1.5 rip,694133,90684,0.8736333333333330,early
GSL_G.2_main_1,32359,control,what is your major,464297,594825,0.9074333333333330,early
GSL_G.2_main_1,32360,control,I'm good what about you?,90887,696373,0.9153666666666670,early
GSL_G.2_main_1,32361,control,how are you?,504005,90887,0.9220833333333330,early
GSL_G.2_main_1,32362,control,I was low key stressed that I wouldn't get them in time,90684,694133,0.95575,early
GSL_G.2_main_1,32363,control,thats good to hear,594825,696373,1.0535833333333300,early
GSL_G.2_main_1,32364,control,thanks,464297,551759,1.1070166666666700,early
GSL_G.2_main_1,32365,control,i'm alright can't complain,696373,90887,1.1082166666666700,early
GSL_G.2_main_1,32366,control,I'm good what about you?,90887,504005,1.12265,early
GSL_G.2_main_1,32367,control,"i'm good, what about you twin?",661074,976819,1.131,early
GSL_G.2_main_1,32368,control,It was so hard to find studies,90684,694133,1.1714833333333300,early
GSL_G.2_main_1,32369,control,I should have been more stressed,694133,90684,1.1891333333333300,early
GSL_G.2_main_1,32370,control,Hi!,90684,594825,1.2315166666666700,early
GSL_G.2_main_1,32371,control,hahhhh,90887,696373,1.2389833333333300,early
GSL_G.2_main_1,32372,control,how's it going?,594825,661074,1.2545666666666700,early
GSL_G.2_main_1,32373,control,What is your major?,464297,551759,1.2815833333333300,early
GSL_G.2_main_1,32374,control,how are you doing today,90684,594825,1.2995666666666700,early
GSL_G.2_main_1,32375,control,oh cool! I'm in the engineering school,976819,464297,1.3023666666666700,early
GSL_G.2_main_1,32376,control,What did you have for lunch?,90887,696373,1.3575666666666700,early
GSL_G.2_main_1,32377,control,haha,90684,694133,1.3990166666666700,early
GSL_G.2_main_1,32378,control,Youth and social innovation,551759,464297,1.4244666666666700,early
GSL_G.2_main_1,32379,control,environmental science,594825,464297,1.4332833333333300,early
GSL_G.2_main_1,32380,control,Wbu,551759,464297,1.4555833333333300,early
GSL_G.2_main_1,32381,control,how about you?,594825,464297,1.49155,early
GSL_G.2_main_1,32382,control,I'm doing fine,504005,90887,1.5154333333333300,early
GSL_G.2_main_1,32383,control,are you excited for thanksgiving break,90684,694133,1.51945,early
GSL_G.2_main_1,32384,control,I'm good what about you?,90887,661074,1.5345833333333300,early
GSL_G.2_main_1,32385,control,Super!,694133,90684,1.6040166666666700,early
GSL_G.2_main_1,32386,control,I was thinking either systems or mechanical,976819,464297,1.6588333333333300,early
GSL_G.2_main_1,32387,control,"it's going definitely, how about you?",661074,594825,1.6609166666666700,early
GSL_G.2_main_1,32388,control,"not too bad, how about you?",594825,90684,1.7147666666666700,early
GSL_G.2_main_1,32389,control,Me too! I can't wait for non dining hall food,90684,694133,1.8250666666666700,early
GSL_G.2_main_1,32390,control,Cool! what year are you?,464297,976819,1.8505166666666700,early
GSL_G.2_main_1,32391,control,I like your avatar,551759,696373,1.8642333333333300,early
GSL_G.2_main_1,32392,control,i had rice and chicken,696373,90887,1.86685,early
GSL_G.2_main_1,32393,control,i'm hanging in there doing all right,661074,90887,1.88515,early
GSL_G.2_main_1,32394,control,Cool,464297,594825,1.9649166666666700,early
GSL_G.2_main_1,32395,control,I'm good!,90684,594825,1.9737833333333300,early
GSL_G.2_main_1,32396,control,im doing well haha,976819,661074,2.0017666666666700,early
GSL_G.2_main_1,32397,control,I want to do public policy,464297,594825,2.0192833333333300,early
GSL_G.2_main_1,32398,control,what about you?,696373,90887,2.0263833333333300,early
GSL_G.2_main_1,32399,control,i feel the same way,594825,661074,2.0336833333333300,early
GSL_G.2_main_1,32400,control,heyy!,661074,464297,2.036583333333330,early
GSL_G.2_main_1,32401,control,what did you have for lunch :),90887,504005,2.048566666666670,early
GSL_G.2_main_1,32402,control,Real. Are you seeing family,694133,90684,2.097183333333330,early
GSL_G.2_main_1,32403,control,very ready for break,594825,661074,2.1012333333333300,early
GSL_G.2_main_1,32404,control,Oh cool,464297,551759,2.1153166666666700,early
GSL_G.2_main_1,32405,control,where are you from??,976819,661074,2.13835,early
GSL_G.2_main_1,32406,control,I want to do public policy,464297,551759,2.17015,early
GSL_G.2_main_1,32407,control,What year are you?,464297,551759,2.231,early
GSL_G.2_main_1,32408,control,this is the last psych credit i need to complete my 6 so i'm super happy about that,90684,594825,2.255116666666670,early
GSL_G.2_main_1,32409,control,I did not have any but I will do after this,90887,696373,2.3072333333333300,early
GSL_G.2_main_1,32410,control,I'm a first year,976819,464297,2.3075,early
GSL_G.2_main_1,32411,control,thanks i like yours too :),696373,551759,2.31085,early
GSL_G.2_main_1,32412,control,hby,976819,464297,2.3369333333333300,early
GSL_G.2_main_1,32413,control,Heyy!,464297,661074,2.34215,early
GSL_G.2_main_1,32414,control,First,551759,464297,2.3475166666666700,early
GSL_G.2_main_1,32415,control,yes,90684,694133,2.385,early
GSL_G.2_main_1,32416,control,haha same!,594825,90684,2.424166666666670,early
GSL_G.2_main_1,32417,control,Is it the food truck?,90887,696373,2.4276833333333300,early
GSL_G.2_main_1,32418,control,What is your major?,464297,661074,2.44775,early
GSL_G.2_main_1,32419,control,what about you,90684,694133,2.5042833333333300,early
GSL_G.2_main_1,32420,control,Cool,464297,551759,2.5220166666666700,early
GSL_G.2_main_1,32421,control,I wanna do educational policy,551759,464297,2.5324666666666700,early
GSL_G.2_main_1,32422,control,that's wassup. I'm from central virginia so like Lynchburg area wbu?,661074,976819,2.548966666666670,early
GSL_G.2_main_1,32423,control,are you ready for break?,594825,90684,2.56695,early
GSL_G.2_main_1,32424,control,"I haven't had lunch yet lol, I'll get lunch after this",504005,90887,2.609366666666670,early
GSL_G.2_main_1,32425,control,yessss,90684,594825,2.617383333333330,early
GSL_G.2_main_1,32426,control,so ready,90684,594825,2.64995,early
GSL_G.2_main_1,32427,control,hbu?,504005,90887,2.67885,early
GSL_G.2_main_1,32428,control,hii what year are you??,976819,594825,2.6832,early
GSL_G.2_main_1,32429,control,no i went back to my place and made lunch,696373,90887,2.7207666666666700,early
GSL_G.2_main_1,32430,control,Nope I'm going on a trip with some friends,694133,90684,2.769616666666670,early
GSL_G.2_main_1,32431,control,Yesss,90887,661074,2.8743666666666700,early
GSL_G.2_main_1,32432,control,I'm a first year as well,464297,976819,2.8782833333333300,early
GSL_G.2_main_1,32433,control,what about you,90684,594825,2.9138333333333300,early
GSL_G.2_main_1,32434,control,I love your avatar,90887,661074,2.9614833333333300,early
GSL_G.2_main_1,32435,control,how was your day?,696373,551759,2.970683333333330,early
GSL_G.2_main_1,32436,control,What’s your favorite place to eat on the corner,551759,696373,2.9829,early
GSL_G.2_main_1,32437,control,it's cute,90887,661074,3.006666666666670,early
GSL_G.2_main_1,32438,control,i cant wait for homecooked meals lol,594825,90684,3.0078,early
GSL_G.2_main_1,32439,control,I can't wait to go home on friday i've been looking forward to this for so long,661074,594825,3.021533333333330,early
GSL_G.2_main_1,32440,control,fun! where are you going,90684,694133,3.108433333333330,early
GSL_G.2_main_1,32441,control,ohh cool im from Arlington like right outside DC,976819,661074,3.133016666666670,early
GSL_G.2_main_1,32442,control,oh thats really cool,594825,464297,3.1820833333333300,early
GSL_G.2_main_1,32443,control,sameee,90684,594825,3.2083666666666700,early
GSL_G.2_main_1,32444,control,My day is pretty solid,551759,696373,3.2149666666666700,early
GSL_G.2_main_1,32445,control,my favorite place is asado,696373,551759,3.2160166666666700,early
GSL_G.2_main_1,32446,control,in batten?,594825,464297,3.22115,early
GSL_G.2_main_1,32447,control,Oh that's nice,90887,696373,3.2828833333333300,early
GSL_G.2_main_1,32448,control,New York!,694133,90684,3.2987166666666700,early
GSL_G.2_main_1,32449,control,what year are you?,976819,661074,3.3220833333333300,early
GSL_G.2_main_1,32450,control,How’s your day,551759,696373,3.351766666666670,early
GSL_G.2_main_1,32451,control,Asado is delicious,551759,696373,3.4235,early
GSL_G.2_main_1,32452,control,Do you have classes in the afternoon?,90887,696373,3.4776166666666700,early
GSL_G.2_main_1,32453,control,Hopefully,464297,594825,3.479966666666670,early
GSL_G.2_main_1,32454,control,yesss me too,594825,661074,3.497533333333330,early
GSL_G.2_main_1,32455,control,hello~,504005,551759,3.5196833333333300,early
GSL_G.2_main_1,32456,control,my day has been alright,696373,551759,3.5637666666666700,early
GSL_G.2_main_1,32457,control,little racoon it reminds me of rocket but I think you got the best one who doesn't love pandas,661074,90887,3.580966666666670,early
GSL_G.2_main_1,32458,control,are you from va?,594825,661074,3.5935,early
GSL_G.2_main_1,32459,control,what is your favorite thanksgiving food,90684,594825,3.5993166666666700,early
GSL_G.2_main_1,32460,control,Me toooo,90887,504005,3.6101666666666700,early
GSL_G.2_main_1,32461,control,Hey,551759,504005,3.6185833333333300,early
GSL_G.2_main_1,32462,control,I like your avatar,551759,504005,3.7015,early
GSL_G.2_main_1,32463,control,yess wbu,661074,594825,3.7240333333333300,early
GSL_G.2_main_1,32464,control,what's your favorite place to eat on the corner,696373,551759,3.776116666666670,early
GSL_G.2_main_1,32465,control,That's so cool!,90684,694133,3.7807333333333300,early
GSL_G.2_main_1,32466,control,ohh nice where are you living?,976819,464297,3.79555,early
GSL_G.2_main_1,32467,control,haha thanks,504005,551759,3.8398333333333300,early
GSL_G.2_main_1,32468,control,What year are you?,464297,594825,3.9410666666666700,early
GSL_G.2_main_1,32469,control,how's everything going,504005,551759,3.9461333333333300,early
GSL_G.2_main_1,32470,control,are you going to the city or somewhere else,90684,694133,3.9687833333333300,early
GSL_G.2_main_1,32471,control,im a vegetarian so we always have stuffed shell pasta which is probably my favorite,594825,90684,4.05115,early
GSL_G.2_main_1,32472,control,i'm a first year hbu,661074,976819,4.067866666666670,early
GSL_G.2_main_1,32473,control,hii,976819,90684,4.1036166666666700,early
GSL_G.2_main_1,32474,control,do you have class in the afternoon?,90887,504005,4.104683333333330,early
GSL_G.2_main_1,32475,control,or cranberry sauce,594825,90684,4.104783333333330,early
GSL_G.2_main_1,32476,control,Just the city,694133,90684,4.169216666666670,early
GSL_G.2_main_1,32477,control,psych wbu,661074,464297,4.17555,early
GSL_G.2_main_1,32478,control,Probably Asado too,551759,696373,4.2275833333333300,early
GSL_G.2_main_1,32479,control,ya im from arlington,594825,661074,4.2423,early
GSL_G.2_main_1,32480,control,you?,594825,661074,4.267716666666670,early
GSL_G.2_main_1,32481,control,how are you doing?,976819,90684,4.282283333333330,early
GSL_G.2_main_1,32482,control,yeah I have 2 but i'm going to skip one of them so I can do homework,696373,90887,4.31225,early
GSL_G.2_main_1,32483,control,heyy!,661074,90684,4.3128,early
GSL_G.2_main_1,32484,control,I also love the boba place,551759,696373,4.31895,early
GSL_G.2_main_1,32485,control,"yep, i only have one class today",504005,90887,4.331083333333330,early
GSL_G.2_main_1,32486,control,what about you,696373,90887,4.387033333333330,early
GSL_G.2_main_1,32487,control,lynchburg,661074,594825,4.425516666666670,early
GSL_G.2_main_1,32488,control,hbu?,504005,90887,4.428616666666670,early
GSL_G.2_main_1,32489,control,im a first year,594825,464297,4.459883333333330,early
GSL_G.2_main_1,32490,control,Have you been?,694133,90684,4.466966666666670,early
GSL_G.2_main_1,32491,control,that sounds so good,90684,594825,4.471966666666670,early
GSL_G.2_main_1,32492,control,It’s going alright,551759,504005,4.500066666666670,early
GSL_G.2_main_1,32493,control,Wbu,551759,504005,4.5158,early
GSL_G.2_main_1,32494,control,what about you?,594825,464297,4.551366666666670,early
GSL_G.2_main_1,32495,control,yeah me too,976819,661074,4.57225,early
